# ---------------------------------------------------------------------
# ■テーブル名
# 　　asset.tbl
# 
# ■説明
# 　・Cities:Skylines、Steamワークショップ上での名称とテーブルで使用する名称の紐づけを行う。
# 　・「udx\bldg」配下に配置されている建物のＧＭＬファイルをインポートする際に参照されるテーブル
# 　・以下の建物判定用テーブルで指定するアセットファイルを定義する
# 　　（detailedUsage.tbl　orgUsage2.tbl　orgUsage.tbl　usage.tbl　buildingID.tbl）
# 
# ■設定値
# 　1.key（string型）
# 　　・建物判定用テーブルで指定するKey値
# 　　・","(半角カンマ)、"#"(半角シャープ)、"/"(半角スラッシュ)は指定不可。
# 　　
# 　2.「アセット名」（string型）
# 　　・Cities:Skylines、Steamワークショップ上でのアセット名を指定する。（基本的には「アセットのID」+"."+「建物名称」+"_Data"の形式）
# 
# ■その他
# 　・先頭#の行はコメントとして扱われます。
# 　・各項目は半角カンマ区切りで指定します。
# 　・項目数が２以上の行が有効。項目３以降はスルーされます。
# ---------------------------------------------------------------------
# key, アセット名
#鉾田市用
鉾田市役所,2863115285.PlateauUC_鉾田市役所_Data
鉾田市保健センター,2863114995.PlateauUC_鉾田市保健センター_Data
鉾田市福祉事務所,2863115370.PlateauUC_鉾田市福祉事務所_Data
鉾田中央公民館,2863114379.PlateauUC_鉾田中央公民館_Data
鉾田市立図書館,2863115631.PlateauUC_鉾田市立図書館_Data
鉾田合同庁舎本庁舎,2863114686.PlateauUC_鉾田合同庁舎本庁舎_Data
鉾田合同庁舎分庁舎,2863114557.PlateauUC_鉾田合同庁舎分庁舎_Data
#
#カスタムアセット
市役所1,1100810441.市役所_Data
市役所2,1337303718.Hamilton City Hall_Data
税務署1,1885357290.JP Tax office_Data
警察署1,1193421607.警察署 (Japanese police station)_Data
消防署1,2764001481.JP Fire station branch_Data
消防署2,535433290.日本の現代的消防署(国旗なし)_Data
駐在所1,2093810677.JP police box A_Data
駐在所2,2093810677.JP Police Box B_Data
駐在所3,2093810677.JP Police Box C_Data
高校1,447188028.HAM Highschool_Data
高校2,1122832630.R69 Japanese High School_Data
研究所1,1117532960.R69 Green Office_Data
小学校1,1801251165.JPES Main_Data
小学校2,732138642.Japan Style Elementary School 3_Data
#小学校3,1801251165.JPES Japanese Elementary School_Data
中学校1,1801251165.JPES Japanese Elementary School_Data
保育所1,2216857712.Suginoko Nursery 1_Data
図書館1,2798795930.OCB City Library_Data
図書館2,406557337.Library_Data
博物館1,791205615.Altes Museum_Data
博物館2,1948801414.HexagramMuseum_Data
集会所1,1718140255.North Vancouver City Hall_Data
体育館1,1757051951.Reismann Sporthalle_Data
体育館2,2335020123.JP Service(三菱重工総合体育館A)_Data
体育館3,2335020123.JP Service(三菱重工総合体育館B)_Data
野球場1,675111174.T-Ball Park_Data
野球場2,501347385.College Baseball Stadium_Data
サッカー場1,500615917.College Soccer Stadium_Data
サッカー場2,553751002.High School Football Stadium_Data
病院1,1985299509.Louver Hospital_Data
診療所1,2596669675.JP_Kimura Clinic 木村医院_Data
診療所2,2290836346.JP Clinic (small)_Data
公衆トイレ1,2136682820.Tokachi Toillet A building_Data
公衆トイレ2,2136682820.Tokachi Toillet B building_Data
公衆トイレ3,2136682820.Tokachi Toillet C building_Data
公衆トイレ4,2136682820.Tokachi Toillet D building_Data
神社1,1942430377.JPCS Community Building 会館_Data
神社2,1942430377.JPCS Main Shrine Building L 本殿_Data
神社3,1942430377.JPCS Treasure hall 宝物殿_Data
教会1,2500893489.JP Muikamachi Church_Data
#
#
############################################
# 以降、標準アセット
############################################
B0,Agricultural 4x4 Processing 01
B1,Agricultural 4x4 Processing 02
B2,H1 1x1 FarmingFacility03
B3,Farming 4x4 Farm
B4,Farming 4x4 Farm 2
B5,Farming 4x4 Farm 3
B6,Agricultural 3x3 Processing 03
B7,Agricultural 3x3 Processing 04
B8,agricultural_building_05
B9,Farming3x2
B10,Farming2x2
B11,Agricultural 1x1 processing 1
B12,Agricultural 2x2 processing 2
B13,Farming4x4
B14,Farming4x4_02
B15,Farming4x4_03
B16,Agricultural 3x2 processing 2
B17,Farming2x2cornerleft
B18,Farming2x2cornerright
B19,Farming4x4cornerleft
B20,Farming4x4cornerright
B21,Water Pipe Junction
B22,Water Intake
B23,Water Outlet
B24,Water Treatment Plant
B25,Water Tower
B26,L5 3x3 Villa02
B27,L2 2x3 Detached01
B28,L1 4x3 detached04
B29,L1 3x4 detached04
B30,L1 1x1 Detached
B31,L2 1x1 detached01
B32,L2 3x4 Detached02
B33,L3 1x1 Detached
B34,L3 3x4 detached01
B35,L4 1x1 Villa04
B36,L4 2x2 Villa02
B37,L4 2x2 Villa07
B38,L5 4x3 Villa05
B39,L5 3x4 Villa05
B40,L5 3x3 Villa08
B41,L5 3x2 Villa06
B42,L5 2x3 Villa07
B43,L5 2x2 Villa09
B44,L5 2x2 Villa07
B45,L5 1x1 DetachedEF
B46,L4 4x4 Villa08a
B47,L1 3x3 Detached 1a
B48,L2 2x2 Detached01
B49,L2 3x2 Detached01
B50,L2 3x4 Detached04a
B51,L1 2x2 Detached01
B52,L1 2x2 Detached03
B53,L1 2x2 Detached04
B54,L1 2x2 Detached06
B55,L1 2x3 Detached03
B56,L1 2x3 Detached05
B57,L1 3x2 Detached04
B58,L1 3x3 Detached02
B59,L1 3x4 Detached04a
B60,L1 3x4 Detached07a
B61,L1 4x3 Detached05
B62,L1 4x4 Detached02
B63,L1 4x4 Detached06a
B64,L2 2x2 Detached05
B65,L2 2x3 Detached03
B66,L2 2x3 Semi-detachedhouse01
B67,L2 3x3 Detached02
B68,L2 3x4 Detached02a
B69,L2 3x4 Semi-detachedhouse02a
B70,L2 4x3 Detached02
B71,L2 4x3 Detached02a
B72,L2 4x4 Detached04
B73,L3 2x2 Detached04
B74,L3 2x2 Detached05
B75,L3 2x3 Detached02
B76,L3 2x3 Semi-detachedhouse02
B77,L3 3x2 Detached03
B78,L3 3x2 Detached06
B79,L3 3x3 Semi-detachedhouse02
B80,L3 3x4 Detached03
B81,L3 3x4 Semi-detachedhouse03a
B82,L3 4x3 Detached01
B83,L3 4x3 Detached04a
B84,L3 4x4 Detached07
B85,L3 4x4 Semi-detachedhouse03a
B86,L4 2x3 Villa04
B87,L4 3x2 Villa02
B88,L4 3x2 Villa02b
B89,L4 3x2 Villa04
B90,L4 3x3 Villa05
B91,L4 3x4 Villa01
B92,L4 4x3 Villa01
B93,L4 4x4 Villa06a
B94,L5 1x1 Detached
B95,L5 3x3 Villa01
B96,L5 4x2 Villa04
B97,L5 4x3 Villa07
B98,L5 4x4 Villa03
B99,L5 4x4 Villa08a
B100,ChirpX Launch Control Center
B101,ChirpX Launch Tower
B102,ChirpX Empty Area 01
B103,ChirpX Empty Area 02
B104,ChirpX Empty Area 03
B105,ChirpX Empty Area 04
